smiles,logP,qed,SAS,Canonical_SMILES,Random_SMILES_1,Random_SMILES_2,NonIsomeric_SMILES,Kekule_SMILES,SMILES_with_Hs,Branchless_SMILES,SMILES_2D
"Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1
",2.57252,0.680287857985,2.075582081970632,Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1,C(Oc1c(cc(cc1)Cl)C)C(N/N=C/c1ccccn1)=O,c1cc(OCC(N/N=C/c2ncccc2)=O)c(C)cc1Cl,Cc1cc(Cl)ccc1OCC(=O)NN=Cc1ccccn1,CC1=CC(Cl)=CC=C1OCC(=O)N/N=C/C1=CC=CC=N1,[CH3][c]1[cH][c]([Cl])[cH][cH][c]1[O][CH2][C](=[O])[NH]/[N]=[CH]/[c]1[cH][cH][cH][cH][n]1,Cc1ccClccc1OCC=ON/N=C/c1ccccn1,Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1
"O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O
",0.1271,0.159707353629,2.70393268925808,O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,c1c(O)c(NC=C2C(NC(NC2=O)=S)=O)ccc1[N+]([O-])=O,[N+](=O)(c1ccc(c(O)c1)NC=C1C(NC(=S)NC1=O)=O)[O-],O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,O=C1NC(=S)NC(=O)C1=CNC1=CC=C([N+](=O)[O-])C=C1O,[O]=[C]1[NH][C](=[S])[NH][C](=[O])[C]1=[CH][NH][c]1[cH][cH][c]([N+](=[O])[O-])[cH][c]1[OH],O=C1NC=SNC=OC1=CNc1ccc[N+]=O[O-]cc1O,O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O
"Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2
",1.93192,0.675384645222,2.84526062667932,Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,C1COCCN1C(c1c(C)c2-c3nn(cc3CCc2o1)CC(=O)NCc1ccco1)=O,c1c2c(-c3c(c(C(=O)N4CCOCC4)oc3CC2)C)nn1CC(=O)NCc1occc1,Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,CC1=C(C(=O)N2CCOCC2)OC2=C1C1=NN(CC(=O)NCC3=CC=CO3)C=C1CC2,[CH3][c]1[c]([C](=[O])[N]2[CH2][CH2][O][CH2][CH2]2)[o][c]2[c]1-[c]1[n][n]([CH2][C](=[O])[NH][CH2][c]3[cH][cH][cH][o]3)[cH][c]1[CH2][CH2]2,Cc1cC=ON2CCOCC2oc2c1-c1nnCC=ONCc3ccco3cc1CC2,Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2
"CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1
",4.6263,0.6265585492769999,2.085945711059868,CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1,c1c(ccc(CNC(=O)c2ccc(-c3c(nccn3)N3CCCCC3)cc2)c1)CC,C(c1ccc(cc1)CC)NC(=O)c1ccc(-c2c(N3CCCCC3)nccn2)cc1,CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1,CCC1=CC=C(CNC(=O)C2=CC=C(C3=NC=CN=C3N3CCCCC3)C=C2)C=C1,[CH3][CH2][c]1[cH][cH][c]([CH2][NH][C](=[O])[c]2[cH][cH][c](-[c]3[n][cH][cH][n][c]3[N]3[CH2][CH2][CH2][CH2][CH2]3)[cH][cH]2)[cH][cH]1,CCc1cccCNC=Oc2ccc-c3nccnc3N3CCCCC3cc2cc1,CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1
"COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC
",4.6231,0.661591299118,3.633380402777009,COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC,C1[C@@H](Nc2cc(C(=O)NC3CCCCC3)nn2[C@@H]1C(F)(F)F)c1ccc(OC)c(OC)c1,[C@H]1(Nc2cc(C(NC3CCCCC3)=O)nn2[C@H](C(F)(F)F)C1)c1ccc(OC)c(OC)c1,COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC,COC1=CC=C([C@H]2C[C@@H](C(F)(F)F)N3N=C(C(=O)NC4CCCCC4)C=C3N2)C=C1OC,[CH3][O][c]1[cH][cH][c]([C@H]2[CH2][C@@H]([C]([F])([F])[F])[n]3[n][c]([C](=[O])[NH][CH]4[CH2][CH2][CH2][CH2][CH2]4)[cH][c]3[NH]2)[cH][c]1[O][CH3],COc1ccc[C@H]2C[C@@H]CFFFn3ncC=ONC4CCCCC4cc3N2cc1OC,COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC
"CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1
",2.1995,0.7405086297779999,2.3309583531570706,CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1,c1ccc(cc1Br)C(NNC(c1[nH]nc(CCC)c1)=O)=O,C(=O)(NNC(=O)c1cccc(c1)Br)c1[nH]nc(CCC)c1,CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1,CCCC1=NNC(C(=O)NNC(=O)C2=CC=CC(Br)=C2)=C1,[CH3][CH2][CH2][c]1[cH][c]([C](=[O])[NH][NH][C](=[O])[c]2[cH][cH][cH][c]([Br])[cH]2)[nH][n]1,CCCc1ccC=ONNC=Oc2ccccBrc2[nH]n1,CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1
"O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12
",4.7471,0.367228561855,2.418070111511957,O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,c1c(F)c(F)cc(c1)Nc1ncnc(c1[N+]([O-])=O)Oc1c2ncccc2ccc1,c1nc(Oc2c3ncccc3ccc2)c([N+](=O)[O-])c(Nc2ccc(F)c(F)c2)n1,O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,O=[N+]([O-])C1=C(NC2=CC=C(F)C(F)=C2)N=CN=C1OC1=CC=CC2=CC=CN=C12,[O]=[N+]([O-])[c]1[c]([NH][c]2[cH][cH][c]([F])[c]([F])[cH]2)[n][cH][n][c]1[O][c]1[cH][cH][cH][c]2[cH][cH][cH][n][c]12,O=[N+][O-]c1cNc2cccFcFc2ncnc1Oc1cccc2cccnc12,O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12
"CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1
",4.0652,0.661483078099,3.0874100517384004,CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1,c12c(cnn1C(C)(C)C)[C@H](NC(=O)CSc1nc3ccccc3o1)CCC2,n1(C(C)(C)C)c2CCC[C@H](c2cn1)NC(CSc1oc2c(n1)cccc2)=O,CC(C)(C)n1ncc2c1CCCC2NC(=O)CSc1nc2ccccc2o1,CC(C)(C)N1N=CC2=C1CCC[C@H]2NC(=O)CSC1=NC2=CC=CC=C2O1,[CH3][C]([CH3])([CH3])[n]1[n][cH][c]2[c]1[CH2][CH2][CH2][C@H]2[NH][C](=[O])[CH2][S][c]1[n][c]2[cH][cH][cH][cH][c]2[o]1,CCCCn1ncc2c1CCC[C@H]2NC=OCSc1nc2ccccc2o1,CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1
"Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1
",3.54042,0.744714108682,2.860821521289912,Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1,OCC[C@@H](c1sccc1)NC(N[C@@H](c1ccc(C)cc1)C)=O,s1cccc1[C@@H](NC(=O)N[C@H](C)c1ccc(cc1)C)CCO,Cc1ccc(C(C)NC(=O)NC(CCO)c2cccs2)cc1,CC1=CC=C([C@@H](C)NC(=O)N[C@@H](CCO)C2=CC=CS2)C=C1,[CH3][c]1[cH][cH][c]([C@@H]([CH3])[NH][C](=[O])[NH][C@@H]([CH2][CH2][OH])[c]2[cH][cH][cH][s]2)[cH][cH]1,Cc1ccc[C@@H]CNC=ON[C@@H]CCOc2cccs2cc1,Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1
"CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1
",1.6908,0.645769882849,2.596313654145714,CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1,C(N(S(=O)(c1ccc2c(c(C(=O)[O-])cc(-c3ccncc3)n2)c1)=O)CC)C,O=S(=O)(N(CC)CC)c1cc2c(cc(-c3ccncc3)nc2cc1)C([O-])=O,CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1,CCN(CC)S(=O)(=O)C1=CC=C2N=C(C3=CC=NC=C3)C=C(C(=O)[O-])C2=C1,[CH3][CH2][N]([CH2][CH3])[S](=[O])(=[O])[c]1[cH][cH][c]2[n][c](-[c]3[cH][cH][n][cH][cH]3)[cH][c]([C](=[O])[O-])[c]2[cH]1,CCNCCS=O=Oc1ccc2nc-c3ccncc3ccC=O[O-]c2c1,CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1
"CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1
",0.1005,0.707767716171,4.106739122556262,CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1,C(c1cc(cc[nH+]1)N(CC)CCC)(=O)[O-],c1(cc([nH+]cc1)C([O-])=O)N(CC)CCC,CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1,CCCN(CC)C1=CC=[NH+]C(C(=O)[O-])=C1,[CH3][CH2][CH2][N]([CH2][CH3])[c]1[cH][cH][nH+][c]([C](=[O])[O-])[cH]1,CCCNCCc1cc[nH+]cC=O[O-]c1,CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1
"Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O
",3.17722,0.8165930852750001,3.831933766485192,Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O,C1CCC([NH+](C2CCCCC2)[C@@H]2C(=O)N(c3ccccc3C)C(C2)=O)CC1,C1CCCC(C1)[NH+](C1CCCCC1)[C@H]1CC(N(C1=O)c1c(C)cccc1)=O,Cc1ccccc1N1C(=O)CC([NH+](C2CCCCC2)C2CCCCC2)C1=O,CC1=CC=CC=C1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O,[CH3][c]1[cH][cH][cH][cH][c]1[N]1[C](=[O])[CH2][C@H]([NH+]([CH]2[CH2][CH2][CH2][CH2][CH2]2)[CH]2[CH2][CH2][CH2][CH2][CH2]2)[C]1=[O],Cc1ccccc1N1C=OC[C@H][NH+]C2CCCCC2C2CCCCC2C1=O,Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O
"CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl
",2.4354,0.772831169205,3.421216009954218,CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,[C@@H]1(c2c(Cl)cc(cc2)Cl)O[C@@H]1S(=O)(C)=O,O=S([C@H]1O[C@H]1c1c(cc(Cl)cc1)Cl)(=O)C,CS(=O)(=O)C1OC1c1ccc(Cl)cc1Cl,CS(=O)(=O)[C@H]1O[C@H]1C1=CC=C(Cl)C=C1Cl,[CH3][S](=[O])(=[O])[C@H]1[O][C@H]1[c]1[cH][cH][c]([Cl])[cH][c]1[Cl],CS=O=O[C@H]1O[C@H]1c1cccClcc1Cl,CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl
"C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-]
",0.2615,0.73266703389,3.2786204199881963,C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-],c1(cnc(cc1)SC[C@@H](C)C(=O)[O-])C(=O)N(C)C,CN(C(c1cnc(cc1)SC[C@@H](C)C(=O)[O-])=O)C,CC(CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-],C[C@H](CSC1=CC=C(C(=O)N(C)C)C=N1)C(=O)[O-],[CH3][C@H]([CH2][S][c]1[cH][cH][c]([C](=[O])[N]([CH3])[CH3])[cH][n]1)[C](=[O])[O-],C[C@H]CSc1cccC=ONCCcn1C=O[O-],C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-]
"CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1
",3.0432,0.783751648757,3.5271606096186625,CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1,c1c(C)ccc([C@@H]2OC(C#N)=C[C@H](C(OCC)=O)C2)c1,C1[C@H](C=C(C#N)O[C@H]1c1ccc(cc1)C)C(=O)OCC,CCOC(=O)C1C=C(C#N)OC(c2ccc(C)cc2)C1,CCOC(=O)[C@H]1C=C(C#N)O[C@@H](C2=CC=C(C)C=C2)C1,[CH3][CH2][O][C](=[O])[C@H]1[CH]=[C]([C]#[N])[O][C@@H]([c]2[cH][cH][c]([CH3])[cH][cH]2)[CH2]1,CCOC=O[C@H]1C=CC#NO[C@@H]c2cccCcc2C1,CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1
"CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1
",1.64112,0.86081466371,4.052006376218158,CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1,c1(csc(CC2(O)CCC(CC2)[NH2+]CCC)n1)C,C(C1(O)CCC([NH2+]CCC)CC1)c1nc(C)cs1,CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1,CCC[NH2+]C1CCC(O)(CC2=NC(C)=CS2)CC1,[CH3][CH2][CH2][NH2+][CH]1[CH2][CH2][C]([OH])([CH2][c]2[n][c]([CH3])[cH][s]2)[CH2][CH2]1,CCC[NH2+]C1CCCOCc2ncCcs2CC1,CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1
"O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1
",3.721,0.7946913386869999,4.110498695024469,O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1,c1c(ccc(Cl)c1)N1C(c2ccccc2N[C@@H]1CSC1[C@H]2N=CN=C2N=CN=1)=O,C(SC1=NC=NC2=NC=N[C@H]12)[C@H]1Nc2c(C(=O)N1c1ccc(Cl)cc1)cccc2,O=C1c2ccccc2NC(CSC2=NC=NC3=NC=NC32)N1c1ccc(Cl)cc1,O=C1C2=CC=CC=C2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1C1=CC=C(Cl)C=C1,[O]=[C]1[c]2[cH][cH][cH][cH][c]2[NH][C@H]([CH2][S][C]2=[N][CH]=[N][C]3=[N][CH]=[N][C@@H]32)[N]1[c]1[cH][cH][c]([Cl])[cH][cH]1,O=C1c2ccccc2N[C@H]CSC2=NC=NC3=NC=N[C@H]23N1c1cccClcc1,O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1
"CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C
",3.83082,0.625191236069,2.147468340324643,CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C,c1(C(=O)OC)cc(CNC(=O)c2c3ccccc3nc(CC)c2C)ccc1OC,CCc1c(c(c2c(cccc2)n1)C(=O)NCc1cc(c(cc1)OC)C(=O)OC)C,CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C,CCC1=NC2=CC=CC=C2C(C(=O)NCC2=CC=C(OC)C(C(=O)OC)=C2)=C1C,[CH3][CH2][c]1[n][c]2[cH][cH][cH][cH][c]2[c]([C](=[O])[NH][CH2][c]2[cH][cH][c]([O][CH3])[c]([C](=[O])[O][CH3])[cH]2)[c]1[CH3],CCc1nc2ccccc2cC=ONCc2cccOCcC=OOCc2c1C,CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C
"Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2
",4.16022,0.520607325866,3.16993784636312,Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2,n1c(cnnc1-n1c2c(c(C)n1)[C@@H](CC(=O)N2)c1ccccc1)-c1ccc(Cl)cc1,n1nc(-n2nc(c3c2NC(C[C@H]3c2ccccc2)=O)C)nc(-c2ccc(Cl)cc2)c1,Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1C(c1ccccc1)CC(=O)N2,CC1=NN(C2=NN=CC(C3=CC=C(Cl)C=C3)=N2)C2=C1[C@H](C1=CC=CC=C1)CC(=O)N2,[CH3][c]1[n][n](-[c]2[n][n][cH][c](-[c]3[cH][cH][c]([Cl])[cH][cH]3)[n]2)[c]2[c]1[C@H]([c]1[cH][cH][cH][cH][cH]1)[CH2][C](=[O])[NH]2,Cc1nn-c2nncc-c3cccClcc3n2c2c1[C@H]c1ccccc1CC=ON2,Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2
"CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1
",2.4946,0.816205452369,2.3614725314845906,CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1,C(NC(Nc1cccc(c1)C(N(C)Cc1n(C)c(C2CC2)nn1)=O)=O)(C)C,c1(NC(NC(C)C)=O)cc(C(=O)N(C)Cc2n(C)c(nn2)C2CC2)ccc1,CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1,CC(C)NC(=O)NC1=CC=CC(C(=O)N(C)CC2=NN=C(C3CC3)N2C)=C1,[CH3][CH]([CH3])[NH][C](=[O])[NH][c]1[cH][cH][cH][c]([C](=[O])[N]([CH3])[CH2][c]2[n][n][c]([CH]3[CH2][CH2]3)[n]2[CH3])[cH]1,CCCNC=ONc1ccccC=ONCCc2nncC3CC3n2Cc1,CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1
"Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1
",2.99092,0.931306706697,2.9173523430651187,Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1,s1c([C@H](NC(=O)c2c(C)nncc2)C)ccc1Cl,Clc1ccc(s1)[C@H](NC(c1c(C)nncc1)=O)C,Cc1nnccc1C(=O)NC(C)c1ccc(Cl)s1,CC1=NN=CC=C1C(=O)N[C@H](C)C1=CC=C(Cl)S1,[CH3][c]1[n][n][cH][cH][c]1[C](=[O])[NH][C@H]([CH3])[c]1[cH][cH][c]([Cl])[s]1,Cc1nnccc1C=ON[C@H]Cc1cccCls1,Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1
"O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1
",2.5509,0.8160144198989999,2.3626210585493315,O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1,o1c(ccc1Br)-c1noc(CCCNC(=O)C2CC2)n1,c1(noc(CCCNC(=O)C2CC2)n1)-c1ccc(o1)Br,O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1,O=C(NCCCC1=NC(C2=CC=C(Br)O2)=NO1)C1CC1,[O]=[C]([NH][CH2][CH2][CH2][c]1[n][c](-[c]2[cH][cH][c]([Br])[o]2)[n][o]1)[CH]1[CH2][CH2]1,O=CNCCCc1nc-c2cccBro2no1C1CC1,O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1
"CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1
",3.2388,0.7876469123459999,1.6585520819706314,CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1,c1(ccc(CCC(=O)Nc2cc(OCC)ccc2)cc1)N,O(c1cc(NC(CCc2ccc(N)cc2)=O)ccc1)CC,CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1,CCOC1=CC=CC(NC(=O)CCC2=CC=C(N)C=C2)=C1,[CH3][CH2][O][c]1[cH][cH][cH][c]([NH][C](=[O])[CH2][CH2][c]2[cH][cH][c]([NH2])[cH][cH]2)[cH]1,CCOc1ccccNC=OCCc2cccNcc2c1,CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1
"COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC
",3.5179,0.70901292722,2.0398854343417376,COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC,C1(=O)N(C(S/C1=C/c1ccc(OC)c(c1)OC)=O)CC(=O)Nc1ccc(F)cc1,Fc1ccc(cc1)NC(CN1C(=O)S/C(=C/c2ccc(OC)c(OC)c2)C1=O)=O,COc1ccc(C=C2SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC,COC1=CC=C(/C=C2/SC(=O)N(CC(=O)NC3=CC=C(F)C=C3)C2=O)C=C1OC,[CH3][O][c]1[cH][cH][c](/[CH]=[C]2/[S][C](=[O])[N]([CH2][C](=[O])[NH][c]3[cH][cH][c]([F])[cH][cH]3)[C]2=[O])[cH][c]1[O][CH3],COc1ccc/C=C2/SC=ONCC=ONc3cccFcc3C2=Occ1OC,COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC
"CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1
",2.7948,0.730904619958,3.6656014977393463,CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1,CC(N(C([C@@H]1N(C(=O)/C=C/SCc2ccco2)CSC1)=O)C)C,N1(C(=O)/C=C/SCc2occc2)[C@@H](C(N(C)C(C)C)=O)CSC1,CC(C)N(C)C(=O)C1CSCN1C(=O)C=CSCc1ccco1,CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCC1=CC=CO1,[CH3][CH]([CH3])[N]([CH3])[C](=[O])[C@H]1[CH2][S][CH2][N]1[C](=[O])/[CH]=[CH]/[S][CH2][c]1[cH][cH][cH][o]1,CCCNCC=O[C@H]1CSCN1C=O/C=C/SCc1ccco1,CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1
"CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC
",3.0074,0.7321772116609999,3.620229776205405,CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC,c1(C(=O)NC)ccc(NC(N[C@@H]2C([C@@H](OC)[C@H]2C)(CC)CC)=O)cc1,CCC1(CC)[C@H]([C@@H]([C@@H]1OC)C)NC(=O)Nc1ccc(cc1)C(=O)NC,CCC1(CC)C(NC(=O)Nc2ccc(C(=O)NC)cc2)C(C)C1OC,CCC1(CC)[C@@H](NC(=O)NC2=CC=C(C(=O)NC)C=C2)[C@H](C)[C@@H]1OC,[CH3][CH2][C]1([CH2][CH3])[C@@H]([NH][C](=[O])[NH][c]2[cH][cH][c]([C](=[O])[NH][CH3])[cH][cH]2)[C@H]([CH3])[C@@H]1[O][CH3],CCC1CC[C@@H]NC=ONc2cccC=ONCcc2[C@H]C[C@@H]1OC,CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC
"Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1
",3.26402,0.58165899991,2.4269982111077386,Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1,c1(C(Nc2c(OCc3ccncc3)cccn2)=O)cnc2n1cc(C)cc2,c1(COc2c(nccc2)NC(c2cnc3n2cc(C)cc3)=O)ccncc1,Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1,CC1=CN2C(C(=O)NC3=NC=CC=C3OCC3=CC=NC=C3)=CN=C2C=C1,[CH3][c]1[cH][cH][c]2[n][cH][c]([C](=[O])[NH][c]3[n][cH][cH][cH][c]3[O][CH2][c]3[cH][cH][n][cH][cH]3)[n]2[cH]1,Cc1ccc2nccC=ONc3ncccc3OCc3ccncc3n2c1,Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1
"N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1
",0.6644800000000001,0.899339408544,3.868739991599667,N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1,C(#N)c1cc(N2CCC([NH2+]C[C@H]3OCCC3)CC2)ncc1,c1(C#N)cc(N2CCC([NH2+]C[C@H]3OCCC3)CC2)ncc1,N#Cc1ccnc(N2CCC([NH2+]CC3CCCO3)CC2)c1,N#CC1=CC=NC(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)=C1,[N]#[C][c]1[cH][cH][n][c]([N]2[CH2][CH2][CH]([NH2+][CH2][C@@H]3[CH2][CH2][CH2][O]3)[CH2][CH2]2)[cH]1,N#Cc1ccncN2CCC[NH2+]C[C@@H]3CCCO3CC2c1,N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1
"O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1
",1.3664,0.8056008937010001,2.6594297490576424,O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1,n1nn(CC(OC2CCCCC2)=O)c(n1-c1cccs1)=O,O=C(OC1CCCCC1)Cn1c(n(nn1)-c1cccs1)=O,O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1,O=C(CN1N=NN(C2=CC=CS2)C1=O)OC1CCCCC1,[O]=[C]([CH2][n]1[n][n][n](-[c]2[cH][cH][cH][s]2)[c]1=[O])[O][CH]1[CH2][CH2][CH2][CH2][CH2]1,O=CCn1nnn-c2cccs2c1=OOC1CCCCC1,O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1
"COc1cccc(COc2ccc(OC)cc2CCl)c1
",4.0216,0.725739701777,1.774788669885364,COc1cccc(COc2ccc(OC)cc2CCl)c1,O(c1ccc(cc1CCl)OC)Cc1cccc(c1)OC,C(c1c(OCc2cccc(OC)c2)ccc(c1)OC)Cl,COc1cccc(COc2ccc(OC)cc2CCl)c1,COC1=CC=CC(COC2=CC=C(OC)C=C2CCl)=C1,[CH3][O][c]1[cH][cH][cH][c]([CH2][O][c]2[cH][cH][c]([O][CH3])[cH][c]2[CH2][Cl])[cH]1,COc1ccccCOc2cccOCcc2CClc1,COc1cccc(COc2ccc(OC)cc2CCl)c1
